"Rank","Bangla","English","Botany","Zoology","Physics","Chemistry","Math","Ict","Total","Gpa"
"514","56","55","37","44","33","35","24","50","334","2.64"
"515","43","33","45","49","41","36","24","45","316","2.64"
"516","47","55","39","36","35","36","19","57","324","2.57"
"517","60","44","40","45","34","36","29","33","321","2.57"
"518","54","45","33","48","28","37","20","54","319","2.5"
"519","57","34","35","47","34","34","22","56","319","2.5"
"521","44","44","35","53","35","35","9","48","303","2.5"
"522","40","55","35","30","43","35","15","46","299","2.5"
"523","47","42","31","38","33","33","21","58","303","2.43"
"524","44","39","42","36","42","44","16","33","296","2.29"
"525","40","38","37","30","44","33","31","35","288","2"
